sample_id,text,mcd,pesq,stoi,utmos,f0_correlation,wer
VIVOSSPK39_065,DÙ VẬY HIỆN GIỜ NHỮNG GÌ TÔI LÀM CHỈ LÀ CHỜ ĐẾN LÚC THÍCH HỢP ĐỂ ĐƯA VỀ MỘT TAY SĂN BÀN ĐÚNG NGHĨA,773.1861029420677,1.0399389266967773,0.12282355373393804,1.5004879236221313,-0.12890315191172277,0.0
VIVOSSPK39_066,DU KHÁCH CÓ THỂ ĐEO BÌNH DƯỠNG KHÍ CHÂN VỊT THEO HƯỚNG DẪN VIÊN XUỐNG ĐÁY BIỂN THĂM DÒ NGẮM SINH VẬT LẠ,747.8524182710955,1.0415079593658447,0.1277482465355478,1.5483372211456299,0.3243488558534549,0.0
VIVOSSPK39_067,MỘT CHÀNG THANH NIÊN NHO NHÃ KHÔNG CÓ GƯƠNG MẶT PHỤC PHỊCH CỦA CHÀNG BÉO,756.9203555094339,1.0800597667694092,0.13545884667983796,1.6480318307876587,0.447030823046974,0.3333333333333333
VIVOSSPK39_068,NHƯNG NẾU SỬ DỤNG MỘT CÁCH TIẾT KIỆM VÀ HIỆU QUẢ HƠN NGUỒN TÀI CHÍNH CHO GIÁO DỤC THÌ SẼ GIẢM SỨC ÉP HỌC PHÍ LÊN NGƯỜI HỌC,911.9529502884467,1.0291258096694946,0.12813783408318635,1.5766364336013794,0.17994938946809047,0.03571428571428571
VIVOSSPK39_069,AI DẠY CHO CON CÁI TỪ ĐÓ MÀ NÓ LIÊN QUAN GÌ TỚI BÀI HỌC GIAO THÔNG CON ĐANG HỌC,814.7104675557073,1.0374571084976196,0.22988766291387336,1.542624592781067,0.24490540564748545,0.1
VIVOSSPK39_070,ĐỂ CÓ DUNG QUẤT BAO NHIÊU GIA ĐÌNH ĐÃ RỜI RUỘNG VƯỜN VÀ MỒ MẢ ÔNG BÀ BAO ĐỜI ĐỂ RA ĐI,930.5755919847056,1.0401238203048706,0.1314707706763341,1.3360679149627686,0.4746000132406462,0.18181818181818182
VIVOSSPK39_071,THƯA ÔNG ÔNG ĐÁNH GIÁ THẾ NÀO VỀ TÁC ĐỘNG CỦA LUẬT MỚI LÊN CÁC NHÓM ĐỐI TƯỢNG CHỊU SỰ ĐIỀU CHỈNH,875.5547768107926,1.0291537046432495,0.11075498893361113,1.4144872426986694,0.19714789498854562,0.0
VIVOSSPK39_072,TÔI CHƯA TÌM ĐƯỢC CON SỐ THỐNG KÊ NÀY Ở VIỆT NAM NHƯNG CÓ LẼ CŨNG DAO ĐỘNG GẦN NHƯ VẬY,892.740452435074,1.0248916149139404,0.1319137321640541,1.4932172298431396,0.14390776497403127,0.0
VIVOSSPK39_073,NHỮNG NGƯỜI QUÁ TẢI TRONG CÔNG VIỆC THƯỜNG MẤT ĐI HỨNG THÚ LÀM VIỆC CŨNG NHƯ CẢM GIÁC TỰ HÀO VỀ NHỮNG THÀNH QUẢ HỌ ĐẠT ĐƯỢC TRONG CÔNG VIỆC,919.4644788630945,1.0258411169052124,0.13681288291456087,1.3752909898757935,0.4513298251297949,0.0
VIVOSSPK39_074,RẤT NHIỀU ĐIỀU ĐÃ ĐƯỢC NÓI VỀ SỰ KẾT HỢP TƯỞNG TƯỢNG CỦA BA TIỂU BANG LỚN NHẤT,871.8973687415956,1.0503621101379395,0.20513317492599814,1.3346737623214722,0.4580834015045327,0.0
VIVOSSPK39_075,THÀNH RA CHÍNH CÁC CƠ SỞ PHÁT HÀNH THẺ NÀY LÀ NGUYÊN NHÂN ĐẦU TIÊN CỦA TAI HỌA TÍN DỤNG NGÀY HÔM NAY,912.4085096751214,1.0490604639053345,0.1495346323358737,1.359291911125183,0.5595534900422237,0.17391304347826086
VIVOSSPK39_076,ĐIỀU NÀY RẤT QUAN TRỌNG CHO VIỆC TIẾP TỤC PHÁT TRIỂN MỐI QUAN HỆ KINH TẾ SONG PHƯƠNG ĐANG TĂNG TRƯỞNG NHANH GIỮA MỸ VÀ VIỆT NAM,900.7466204754427,1.0483790636062622,0.1370267152836912,1.319360375404358,0.42566790115205816,0.037037037037037035
VIVOSSPK39_077,DIỄN VIÊN MINH HOÀNG VAI ÔNG HOÀI VÀ LÊ BÊ LA VAI HẠ VY TRONG PHIM Ở LẠI THẾ GIAN ẢNH ĐOÀN PHIM CUNG CẤP,898.1637740041909,1.0422343015670776,0.1568825085243509,1.3099933862686157,0.3195914272054024,0.04
VIVOSSPK39_078,CÔ ĐÂU BIẾT VƯƠNG MIỆN HOA HẬU MÀ CÔ ĐOẠT ĐƯỢC CHẲNG QUA CŨNG LÀ SỰ SẮP ĐẶT CỦA NHỮNG KẺ LẮM CỦA NHIỀU TIỀN,815.9481908266007,1.1241059303283691,0.13323325869728275,1.3686741590499878,0.4481040939063712,0.12
